"","nome","cenário","dimensao8.fss","dimensao7.fss","dimensao5.fss","dimensao2.fss"
"1","P001","não gamificado",3.5,2.5,3.75,4.5
"2","P002","não gamificado",3,2.25,4,3.5
"3","P003","não gamificado",3.5,3,3.75,3.25
"4","P004","não gamificado",2.75,2.75,3,2.5
"5","P005","não gamificado",3,2.25,3,3
"6","P006","gamificado",3.75,4,3.75,4.5
"7","P007","gamificado",4.5,4.5,4,3.5
"8","P008","gamificado",3.75,3.5,4.25,4
"9","P009","não gamificado",3,2.25,4,3
"10","P010","gamificado",4.25,4,4.5,4
"11","P011","gamificado",3.25,4,3.75,2.75
"12","P012","gamificado",3.25,2.75,4.25,3
"13","P013","gamificado",4.25,3,4,4.5
"14","P014","não gamificado",2.75,3.25,3.75,2.75
"15","P015","não gamificado",3,3.75,3,3
"16","P016","gamificado",3.75,4.5,4,3.75
"17","P017","não gamificado",2,3,3,3
"18","P018","gamificado",4.5,3.75,4.25,4.5
"19","P019","gamificado",3,4.5,2.75,3.75
"20","P020","gamificado",3.25,3.75,3,3
"21","P021","não gamificado",3,3,3,4.5
"22","P022","gamificado",3.75,3,3.25,4
"23","P023","gamificado",3.25,4,3.75,4.25
"24","P024","não gamificado",3,2.25,3,3.5
"25","P025","gamificado",4.25,4.25,4.5,4
"26","P026","não gamificado",2.75,3.25,3,3.25
"27","P027","gamificado",3.75,4,3.75,2.75
"28","P028","não gamificado",3,2.75,2.5,2.5
"29","P029","não gamificado",3,3,3,3
"30","P030","gamificado",3,3.25,4.25,3
"31","P031","não gamificado",2.25,3.75,3.75,3
"32","P032","gamificado",4.25,3,3.25,3.25
"33","P033","não gamificado",2.75,3.25,3,2.75
"34","P034","não gamificado",3,3,3.75,2.75
"35","P035","gamificado",2.75,3.25,3.25,3.75
"36","P036","gamificado",3,3.75,4.25,4.5
"37","P037","gamificado",4.5,4.5,3.75,3.75
"38","P038","gamificado",3.75,3.75,4.25,4.25
"39","P039","não gamificado",3.25,3,3.75,4
"40","P040","gamificado",4.5,4.25,4,3.25
"41","P041","não gamificado",3,3,3,3.5
"42","P042","gamificado",3.75,3.25,4.25,3.25
"43","P043","não gamificado",3.5,2.75,4,3.25
"44","P044","não gamificado",3.25,3,3.5,2.5
"45","P045","gamificado",3.75,3.25,3.25,4.25
"46","P046","gamificado",4,4.25,4,3.75
"47","P047","não gamificado",2.75,2.25,3.25,3
"48","P048","gamificado",4,3.75,4.25,4.5
"49","P049","gamificado",4.25,4.5,3.75,3.75
"50","P050","gamificado",4.5,3.75,3,4.25
"51","P051","gamificado",3.75,4.25,4.25,3.25
"52","P052","não gamificado",3.75,3.5,3.75,3.25
"53","P053","gamificado",3.75,3.25,2.75,3.25
"54","P054","gamificado",4.5,3.25,3,4.25
"55","P055","não gamificado",3,3,3,3
"56","P056","gamificado",3.75,4.25,4.5,3.75
"57","P057","não gamificado",3.25,3.5,3.5,3
"58","P058","gamificado",4.25,3.75,3.75,3
"59","P059","gamificado",3.25,3,4.5,4.25
"60","P060","gamificado",3.25,4.25,3.75,2.75
"61","P061","não gamificado",2.25,3,3.25,2.75
"62","P062","gamificado",4.25,2.75,4.5,3
"63","P063","gamificado",3.75,3,3.75,4.5
"64","P064","gamificado",4.5,4.5,4.25,3.75
"65","P065","gamificado",3,3.75,4,4.5
"66","P066","gamificado",3.25,4.5,3.75,3.75
"67","P067","gamificado",3.75,3.75,4.5,4.25
"68","P068","gamificado",3.25,4.25,3.75,4
"69","P069","gamificado",4.25,4,4.25,3.25
"70","P070","gamificado",3.25,3.25,3.75,4.25
"71","P071","não gamificado",3.75,3.75,2.5,3.75
"72","P072","gamificado",2.75,4.25,3.25,4
"73","P073","gamificado",3,4,4,2.75
"74","P074","não gamificado",3,3.25,3,3
"75","P075","não gamificado",2.25,3.25,3,2.75
"76","P076","gamificado",3,2.75,3.75,3
"77","P077","gamificado",3.25,3,3.75,4.5
"78","P078","gamificado",3,4.5,4,3.75
"79","P079","gamificado",2.75,3.75,2.75,4.5
"80","P080","não gamificado",3,3.5,3.5,3
"81","P081","gamificado",3.75,4.5,3,3.75
"82","P082","não gamificado",3.75,4,4,3.75
"83","P083","não gamificado",3.75,3.75,3.75,2.75
"84","P084","gamificado",2,4.5,3.25,4.25
"85","P085","gamificado",4.25,3.5,4.25,4
"86","P086","não gamificado",2,2,3.5,3
"87","P087","gamificado",2.5,4,2.75,3.25
"88","P088","gamificado",3.75,4,4.25,4
"89","P089","gamificado",3,4.5,3.75,2.75
"90","P090","gamificado",3.75,3.5,3.75,3.25
"91","P091","não gamificado",1.75,2.75,2.25,2.75
"92","P092","gamificado",3.75,4,4,3.25
"93","P093","não gamificado",2.75,3,2.5,3
"94","P094","não gamificado",3.5,3.25,3,3.75
"95","P095","não gamificado",2,2.75,3,3.25
"96","P096","não gamificado",3,2.75,2.75,3.25
"97","P097","gamificado",3,4,3.75,3.75
"98","P098","não gamificado",3,3,3.5,2
"99","P099","não gamificado",3.25,3.25,3.25,2.75
"100","P100","não gamificado",2.75,2,2.25,3
"101","P101","gamificado",3,2.75,4.5,4.5
"102","P102","gamificado",2.75,3,3.75,4.5
"103","P103","gamificado",3.25,4.5,4.25,3.75
"104","P104","não gamificado",2.75,3,3,3
"105","P105","não gamificado",3,3,3,3
"106","P106","gamificado",3,3.75,3,4.25
"107","P107","gamificado",3.75,4.5,3.25,3.25
"108","P108","não gamificado",3.25,3.25,3.5,2.75
"109","P109","não gamificado",2.75,3.25,2.75,3.75
"110","P110","gamificado",2.25,3.75,4.5,3
"111","P111","não gamificado",3,2,3.75,3
"112","P112","não gamificado",3,3,3.75,3
"113","P113","gamificado",2.75,3,3.75,4.25
"114","P114","não gamificado",3.25,3,3,3.25
"115","P115","não gamificado",3,3.25,3.25,2
"116","P116","não gamificado",2.75,2.75,2.75,3
"117","P117","não gamificado",3.75,2.75,2.25,3
"118","P118","gamificado",3.75,4,4.25,3.75
"119","P119","não gamificado",2,3,3.25,3.75
"120","P120","gamificado",3.75,4.25,4,3.75
"121","P121","gamificado",3,4,4.25,4
"122","P122","não gamificado",4.25,4,4,4
"123","P123","não gamificado",2.5,2.5,3.25,2.5
"124","P124","gamificado",3,2.75,4.25,2.75
"125","P125","gamificado",2.75,3,2.75,3.25
"126","P126","gamificado",3.25,3.25,3,4.25
"127","P127","gamificado",3,3.75,3.25,3.75
"128","P128","não gamificado",3.75,3.75,3.25,3.75
"129","P129","não gamificado",3,3,3,3.25
"130","P130","gamificado",3.5,4.5,3.75,3.75
"131","P131","não gamificado",3.75,3.75,2.75,2
"132","P132","não gamificado",3.75,3.5,3.25,3
"133","P133","gamificado",3,3.75,4.5,4.5
"134","P134","gamificado",3.5,4.25,3.75,3.75
"135","P135","gamificado",2.75,3.25,4.25,4.25
"136","P136","não gamificado",3,3.25,3,2.75
"137","P137","gamificado",3,3.25,3.25,3.75
"138","P138","gamificado",3,4.25,3.25,3.25
"139","P139","gamificado",2.75,3.75,4.25,4
"140","P140","não gamificado",3,3,2.75,3.25
"141","P141","gamificado",3,4.5,3.75,3.75
"142","P142","gamificado",2,3.75,4.5,3.75
"143","P143","não gamificado",2.75,2.75,2.75,3
"144","P144","gamificado",3,4.25,3,4
"145","P145","gamificado",3,3.25,3.25,2.75
"146","P146","gamificado",3,3.25,3.75,3
"147","P147","não gamificado",3.25,3,3.25,2.75
"148","P148","gamificado",3,4.25,3.25,3.75
"149","P149","não gamificado",3,3,4,3.75
"150","P150","não gamificado",3.75,3.25,3.25,3
"151","P151","não gamificado",2.25,3.75,3.25,3
"152","P152","gamificado",3,3.75,4.25,4.25
"153","P153","não gamificado",2.75,3,2.75,3.25
"154","P154","gamificado",2.25,3,3.75,4
"155","P155","não gamificado",3.75,3,3.75,3.75
"156","P156","gamificado",2.75,4.25,3,4.25
"157","P157","gamificado",3,2.75,4.25,3.75
"158","P158","gamificado",3.25,3,2.75,3.75
"159","P159","não gamificado",3.75,2.25,3,3.75
"160","P160","não gamificado",3,3,3.25,3
"161","P161","gamificado",3.25,4.5,3,4
"162","P162","gamificado",3.5,3.75,4.5,3.75
"163","P163","gamificado",3.25,4.5,3.75,3.75
"164","P164","gamificado",2.75,3.75,4.5,4
"165","P165","gamificado",3.75,4.25,3.75,2.75
"166","P166","gamificado",3.75,4,3.75,3
"167","P167","gamificado",3.25,3.25,4,3.75
"168","P168","gamificado",2.25,4.25,4,3.75
"169","P169","gamificado",3.75,4,4.25,4.5
"170","P170","não gamificado",3,3,3.25,3.75
"171","P171","não gamificado",2.75,2,3.25,3.75
"172","P172","gamificado",3,2.75,4.5,3.75
"173","P173","gamificado",2.25,3,3.75,4.25
"174","P174","não gamificado",3.25,2.25,3.25,2.25
"175","P175","gamificado",3,4.5,4.25,3.5
"176","P176","gamificado",3.75,3.75,4,2.75
"177","P177","gamificado",3.75,4.5,4,3.75
"178","P178","gamificado",2,3,4.25,4.5
"179","P179","gamificado",1.75,3.25,2.75,3.75
"180","P180","gamificado",2.75,3.57,3,4.25
"181","P181","gamificado",3,2.75,3,3.25
"182","P182","gamificado",2,3,3.75,3.25
"183","P183","não gamificado",3,3.75,3.75,3.75
